227,350,1655,0,1,1.573,213.9,5.783,-14.08,-.022
227,350,1656,0,1,1.774,210.5,6.92,-13.39,.006
227,350,1657,0,1,1.837,215.4,4.312,-13.6,-.022
227,350,1658,0,1,2.116,215.9,4.761,-13.26,-.044
227,350,1659,0,1,1.792,214.8,4.705,-13.12,0
120,350,1700,1.797,213.7,9.12,9.77,-13.44,-40.32,93.9,-.017,-68.39,13.15,0,6.546,6.28,251.6,60.09,41.96,90.2,1.297
227,350,1700,0,1,1.46,221.2,6.739,-13.29,-.017
227,350,1701,0,1,1.346,225.2,6.319,-12.97,-.099
227,350,1702,0,1,1.505,225.9,3.968,-13.36,.066
227,350,1703,0,1,1.603,222.2,5.275,-13.55,.033
227,350,1704,0,1,1.625,224.1,6.037,-13.13,-.006
227,350,1705,0,1,1.463,226.3,5.144,-13.38,.006
227,350,1706,0,1,1.61,230.4,5.031,-13.64,-.028
227,350,1707,0,1,1.807,228.7,4.779,-13.51,0
227,350,1708,0,1,1.738,229,3.758,-14.08,.017
227,350,1709,0,1,1.707,226.6,4.985,-13.82,-.077
227,350,1710,0,1,2.047,223.2,3.877,-13.28,-.011
227,350,1711,0,1,1.946,222.3,4.694,-13.45,.011
227,350,1712,0,1,2.179,217,3.034,-13.68,-.05
227,350,1713,0,1,2.119,214.4,3.111,-12.98,-.039
227,350,1714,0,1,2.35,212.7,3.999,-13.65,.006
120,350,1715,1.833,222.7,7.33,10.29,-13.45,-40.35,93.7,-.013,-69.32,13.16,0,6.536,6.271,268.3,60.07,41.96,90.2,1.284
227,350,1715,0,1,2.445,212.5,3.686,-13.27,.033
227,350,1716,0,1,2.568,211.2,4.017,-13.79,.05
227,350,1717,100,1,2.612,211.9,4.619,-13.63,.05
227,350,1718,100,1,2.503,214,5.66,-13.84,.105
227,350,1719,100,1,2.479,218.3,5.092,-13.3,-.248
227,350,1720,0,1,2.604,220.3,4.436,-12.78,-.127
227,350,1721,0,1,2.328,222.7,4.439,-13.35,-.077
227,350,1722,0,1,2.253,221,4.124,-13.39,.05
227,350,1723,0,1,2.234,222.2,3.535,-13.68,-.022
227,350,1724,0,1,2.11,227.7,6.245,-13.61,-.061
227,350,1725,0,1,1.85,223.4,4.115,-13.86,.033
227,350,1726,0,1,2.24,219,5.069,-13.72,0
227,350,1727,0,1,2.096,224.8,5.263,-13.72,0
227,350,1728,0,1,1.595,224.6,5.57,-13.72,-.022
227,350,1729,0,1,1.77,221.1,4.116,-13.55,.011
120,350,1730,2.192,220.3,6.743,10.4,-13.62,-40.32,94.1,-.005,-70.2,13.15,0,6.537,6.27,281.5,60.06,41.97,90.2,1.277
227,350,1730,0,1,1.635,222.6,6.483,-14.09,-.039
227,350,1731,0,1,1.983,223.2,5.502,-13.39,-.022
227,350,1732,0,1,2.197,223.8,5.275,-13.82,0
227,350,1733,0,1,1.575,223.2,5.865,-13.55,-.011
227,350,1734,0,1,2.482,224,6.164,-13.17,.011
227,350,1735,0,1,1.908,215.6,6.619,-14.12,-.022
227,350,1736,0,1,1.678,210.7,5.948,-14.15,-.05
227,350,1737,0,1,1.889,212.9,5.125,-13.79,.028
227,350,1738,0,1,1.587,218.1,5.37,-13.93,0
227,350,1739,0,1,1.565,218.4,4.47,-13.52,-.039
227,350,1740,0,1,2.135,214.3,2.913,-13.56,.033
227,350,1741,0,1,1.538,218.1,5.818,-12.98,-.006
227,350,1742,0,1,1.519,221.4,6.089,-13.74,.044
227,350,1743,0,1,.993,234.3,5.982,-13.8,-.05
227,350,1744,0,1,1.026,225.2,10.28,-13.92,.094
120,350,1745,1.681,219.2,9.36,10.35,-13.65,-40.35,94.1,-.011,-70.4,13.16,0,6.527,6.259,341.9,60.05,41.97,90.2,1.277
227,350,1745,0,1,1.137,204,9.17,-13.41,-.066
227,350,1746,0,1,1.536,187.4,8.51,-13.79,-.006
227,350,1747,0,1,2.193,182.2,5.173,-13.74,-.028
227,350,1748,0,1,2.019,191.8,7.27,-14.77,-.017
227,350,1749,0,1,1.527,198,9.65,-14.29,-.028
227,350,1750,0,1,1.843,205,6.8,-13.65,-.011
227,350,1751,0,1,1.813,218.5,10.37,-13.94,-.022
227,350,1752,0,1,1.34,227,8.57,-13.67,-.011
227,350,1753,0,1,.978,225.6,12.16,-13.85,.033
227,350,1754,0,1,.986,232.5,11.71,-13.85,-.017
227,350,1755,0,1,1.105,230.4,7.17,-13.79,.017
227,350,1756,0,1,1.075,210.6,9.35,-13.33,-.094
227,350,1757,0,1,1.075,194.1,10.16,-13.43,-.006
227,350,1758,0,1,.939,192.5,8.6,-13.83,-.028
227,350,1759,0,1,.881,192.1,4.344,-13.98,-.017
120,350,1800,1.351,204.5,19.48,10.51,-13.87,-40.37,94,-.002,-95.4,13.16,0,6.525,6.254,389.2,60.03,41.97,90.2,1.303
227,350,1800,0,1,.953,182.5,9.23,-14.18,-.011
227,350,1801,0,1,1.007,177.9,7.06,-13.45,-.017
227,350,1802,0,1,.87,183.3,4.478,-13.7,.006
227,350,1803,0,1,.889,199.7,8.76,-14.01,-.033
227,350,1804,0,1,.945,207.9,6.958,-14.48,0
