site,start_date,end_date,name_dt,name_local,long_name_local,units_local,type,time_char_format,horizontal_id,vertical_id,replicate_id,sensor_make,sensor_model,range_min,range_max,diff_ref_max,imputation_method,name_era5,long_name_era5,units_era5,name_icos,long_name_icos,units_icos,statistic
UK-WHM,01/01/2002 00:00,01/01/2030 00:00,Timestamp,Timestamp,timestamp,,time,%d/%m/%Y %H:%M,,,,Campbell,CS-101,,,,,time,time,,TIMESTAMP,timestamp,,sample
UK-EBU,01/08/2023 13:00,01/01/2024 00:00,TIMESTAMP,TIMESTAMP,timestamp,,time,%Y-%m-%dT%H:%M:%SZ,,,,Campbell,CS-101,,,,,time,time,,TIMESTAMP,timestamp,,sample
UK-BUC,08/09/2023 14:00,01/01/2030 00:00,TIMESTAMP,TIMESTAMP,TIMESTAMP,,time,%Y-%m-%dT%H:%M:%SZ,,,,Campbell,CS-101,,,,,time,time,,TIMESTAMP,timestamp,,sample
UK-WHM,01/01/2002 00:00,01/01/2030 00:00,Total_solar,Total_solar,Shortwave incoming radiation,W/m^2,energy flux,,1,1,1,Campbell,CS-101,0,1200,100,era5,ssrd,ssrd,W/m^2,SW_IN,Shortwave incoming radiation,W/m^2,mean
UK-AMO,01/01/1995 00:00,01/01/2030 00:00,TS,TS,Soil temperature,degC,temperature,,,,,Campbell,CS-101,-20,50,100,era5,stl1,stl1,degC,TS,Soil temperature,degC,mean
UK-AMO,01/01/1995 00:00,01/01/2030 00:00,TS_10_1_1,TS_10_1_1,Soil temperature,degC,temperature,,10,1,1,Campbell,CS-101,-20,50,100,era5,stl1,stl1,degC,TS,Soil temperature,degC,mean
UK-AMO,01/01/1995 00:00,01/01/2030 00:00,TS_10_2_1,TS_10_2_1,Soil temperature,degC,temperature,,10,2,1,Campbell,CS-101,-20,50,100,era5,stl1,stl1,degC,TS,Soil temperature,degC,mean
UK-AMO,01/01/1995 00:00,01/01/2030 00:00,TS_10_3_1,TS_10_3_1,Soil temperature,degC,temperature,,10,3,1,Campbell,CS-101,-20,50,100,era5,stl1,stl1,degC,TS,Soil temperature,degC,mean
UK-AMO,01/01/1995 00:00,01/01/2030 00:00,TS_10_4_1,TS_10_4_1,Soil temperature,degC,temperature,,10,4,1,Campbell,CS-101,-20,50,100,era5,stl1,stl1,degC,TS,Soil temperature,degC,mean
UK-AMO,01/01/1995 00:00,01/01/2030 00:00,TS_10_5_1,TS_10_5_1,Soil temperature,degC,temperature,,10,5,1,Campbell,CS-101,-20,50,100,era5,stl1,stl1,degC,TS,Soil temperature,degC,mean
UK-AMO,01/01/1995 00:00,01/01/2030 00:00,TS_11_1_1,TS_11_1_1,Soil temperature,degC,temperature,,11,1,1,Campbell,CS-101,-20,50,100,era5,stl1,stl1,degC,TS,Soil temperature,degC,mean
UK-AMO,01/01/1995 00:00,01/01/2030 00:00,TS_11_2_1,TS_11_2_1,Soil temperature,degC,temperature,,11,2,1,Campbell,CS-101,-20,50,100,era5,stl1,stl1,degC,TS,Soil temperature,degC,mean
UK-AMO,01/01/1995 00:00,01/01/2030 00:00,TS_11_3_1,TS_11_3_1,Soil temperature,degC,temperature,,11,3,1,Campbell,CS-101,-20,50,100,era5,stl1,stl1,degC,TS,Soil temperature,degC,mean
UK-AMO,01/01/1995 00:00,01/01/2030 00:00,TS_11_4_1,TS_11_4_1,Soil temperature,degC,temperature,,11,4,1,Campbell,CS-101,-20,50,100,era5,stl1,stl1,degC,TS,Soil temperature,degC,mean
UK-AMO,01/01/1995 00:00,01/01/2030 00:00,TS_11_5_1,TS_11_5_1,Soil temperature,degC,temperature,,11,5,1,Campbell,CS-101,-20,50,100,era5,stl1,stl1,degC,TS,Soil temperature,degC,mean
UK-AMO,01/01/1995 00:00,01/01/2030 00:00,TS_4_1_1,TS_4_1_1,Soil temperature,degC,temperature,,4,1,1,Campbell,CS-101,-20,50,100,era5,stl1,stl1,degC,TS,Soil temperature,degC,mean
UK-AMO,01/01/1995 00:00,01/01/2030 00:00,TS_4_2_1,TS_4_2_1,Soil temperature,degC,temperature,,4,2,1,Campbell,CS-101,-20,50,100,era5,stl1,stl1,degC,TS,Soil temperature,degC,mean
UK-AMO,01/01/1995 00:00,01/01/2030 00:00,TS_4_3_1,TS_4_3_1,Soil temperature,degC,temperature,,4,3,1,Campbell,CS-101,-20,50,100,era5,stl1,stl1,degC,TS,Soil temperature,degC,mean
UK-AMO,01/01/1995 00:00,01/01/2030 00:00,TS_4_4_1,TS_4_4_1,Soil temperature,degC,temperature,,4,4,1,Campbell,CS-101,-20,50,100,era5,stl1,stl1,degC,TS,Soil temperature,degC,mean
UK-AMO,01/01/1995 00:00,01/01/2030 00:00,TS_8_1_1,TS_8_1_1,Soil temperature,degC,temperature,,8,1,1,Campbell,CS-101,-20,50,100,era5,stl1,stl1,degC,TS,Soil temperature,degC,mean
UK-AMO,01/01/1995 00:00,01/01/2030 00:00,TS_8_2_1,TS_8_2_1,Soil temperature,degC,temperature,,8,2,1,Campbell,CS-101,-20,50,100,era5,stl1,stl1,degC,TS,Soil temperature,degC,mean
UK-AMO,01/01/1995 00:00,01/01/2030 00:00,TS_8_3_1,TS_8_3_1,Soil temperature,degC,temperature,,8,3,1,Campbell,CS-101,-20,50,100,era5,stl1,stl1,degC,TS,Soil temperature,degC,mean
UK-AMO,01/01/1995 00:00,01/01/2030 00:00,TS_8_4_1,TS_8_4_1,Soil temperature,degC,temperature,,8,4,1,Campbell,CS-101,-20,50,100,era5,stl1,stl1,degC,TS,Soil temperature,degC,mean
UK-AMO,01/01/1995 00:00,01/01/2030 00:00,TS_8_5_1,TS_8_5_1,Soil temperature,degC,temperature,,8,5,1,Campbell,CS-101,-20,50,100,era5,stl1,stl1,degC,TS,Soil temperature,degC,mean
UK-AMO,01/01/1995 00:00,01/01/2030 00:00,TS_9_1_1,TS_9_1_1,Soil temperature,degC,temperature,,9,1,1,Campbell,CS-101,-20,50,100,era5,stl1,stl1,degC,TS,Soil temperature,degC,mean
UK-AMO,01/01/1995 00:00,01/01/2030 00:00,TS_9_2_1,TS_9_2_1,Soil temperature,degC,temperature,,9,2,1,Campbell,CS-101,-20,50,100,era5,stl1,stl1,degC,TS,Soil temperature,degC,mean
UK-AMO,01/01/1995 00:00,01/01/2030 00:00,TS_9_3_1,TS_9_3_1,Soil temperature,degC,temperature,,9,3,1,Campbell,CS-101,-20,50,100,era5,stl1,stl1,degC,TS,Soil temperature,degC,mean
UK-AMO,01/01/1995 00:00,01/01/2030 00:00,TS_9_4_1,TS_9_4_1,Soil temperature,degC,temperature,,9,4,1,Campbell,CS-101,-20,50,100,era5,stl1,stl1,degC,TS,Soil temperature,degC,mean
UK-AMO,01/01/1995 00:00,01/01/2030 00:00,TS_9_5_1,TS_9_5_1,Soil temperature,degC,temperature,,9,5,1,Campbell,CS-101,-20,50,100,era5,stl1,stl1,degC,TS,Soil temperature,degC,mean
UK-EBU,01/08/2023 13:00,01/01/2024 00:00,TS_EB_5_1_1,TS_EB_5_1_1,Soil temperature,degC,temperature,,5,1,1,Campbell,CS-101,-20,50,100,era5,stl1,stl1,degC,TS,Soil temperature,degC,mean
UK-EBU,01/08/2023 13:00,01/01/2024 00:00,TS_EB_5_2_1,TS_EB_5_2_1,Soil temperature,degC,temperature,,5,2,1,Campbell,CS-101,-20,50,100,era5,stl1,stl1,degC,TS,Soil temperature,degC,mean
UK-EBU,01/08/2023 13:00,01/01/2024 00:00,TS_EB_5_3_1,TS_EB_5_3_1,Soil temperature,degC,temperature,,5,3,1,Campbell,CS-101,-20,50,100,era5,stl1,stl1,degC,TS,Soil temperature,degC,mean
UK-EBU,01/08/2023 13:00,01/01/2024 00:00,TS_EB_5_4_1,TS_EB_5_4_1,Soil temperature,degC,temperature,,5,4,1,Campbell,CS-101,-20,50,100,era5,stl1,stl1,degC,TS,Soil temperature,degC,mean
UK-WHM,01/01/2002 00:00,01/01/2030 00:00,WD,WD,Wind direction,degree,wind direction,,1,1,1,Campbell,CS-101,0,360,100,era5,wd,wd,degree,WD,Wind direction,degree,mean
UK-AMO,01/01/1995 00:00,01/01/2030 00:00,WD_6_1_1,WD_6_1_1,Wind direction,degree,wind direction,,6,1,1,Campbell,CS-101,0,360,100,era5,wd,wd,degree,WD,Wind direction,degree,mean
UK-AMO,01/01/1995 00:00,01/01/2030 00:00,WD_7_1_1,WD_7_1_1,Wind direction,degree,wind direction,,7,1,1,Campbell,CS-101,0,360,100,era5,wd,wd,degree,WD,Wind direction,degree,mean
UK-WHM,01/01/2002 00:00,01/01/2030 00:00,WS,WS,Wind speed,m/s,wind speed,,1,1,1,Campbell,CS-101,0,30,100,era5,ws,ws,m/s,WS,Wind speed,m/s,mean
UK-AMO,01/01/1995 00:00,01/01/2030 00:00,WS_6_1_1,WS_6_1_1,Wind speed,m/s,wind speed,,6,1,1,Campbell,CS-101,0,30,100,era5,ws,ws,m/s,WS,Wind speed,m/s,mean
UK-AMO,01/01/1995 00:00,01/01/2030 00:00,WS_7_1_1,WS_7_1_1,Wind speed,m/s,wind speed,,7,1,1,Campbell,CS-101,0,30,100,era5,ws,ws,m/s,WS,Wind speed,m/s,mean
UK-BUC,08/09/2023 14:00,01/01/2030 00:00,WS_BU_1_1_1_Avg,WS_BU_1_1_1_Avg,Wind speed,m/s,wind speed,,1,1,1,Campbell,CS-101,0,30,100,era5,ws,ws,m/s,WS,Wind speed,m/s,mean
UK-BUC,08/09/2023 14:00,01/01/2030 00:00,WS_BU_1_1_1_WVc(1),WS_BU_1_1_1_WVc(1),Wind direction,degree,wind direction,,1,1,1,Campbell,CS-101,0,360,100,era5,wd,wd,degree,WD,Wind direction,degree,mean
UK-AMO,01/01/1995 00:00,01/01/2030 00:00,WTD,WTD,Water table depth,m,height,,,,,Campbell,CS-101,-10,10,100,era5,swvl1,swvl1,m,WTD,Water table depth,m,mean
UK-WHM,01/01/2002 00:00,01/01/2030 00:00,WTD,WTD,Water table depth,cm,height,,1,1,1,Campbell,CS-101,-10,10,100,era5,swvl1,swvl1,m,WTD,Water table depth,m,mean
UK-AMO,01/01/1995 00:00,01/01/2030 00:00,WTD_10_1_1,WTD_10_1_1,Water table depth,m,height,,10,1,1,Campbell,CS-101,-10,10,100,era5,swvl1,swvl1,m,WTD,Water table depth,m,mean
UK-AMO,01/01/1995 00:00,01/01/2030 00:00,WTD_11_1_1,WTD_11_1_1,Water table depth,m,height,,11,1,1,Campbell,CS-101,-10,10,100,era5,swvl1,swvl1,m,WTD,Water table depth,m,mean
UK-AMO,01/01/1995 00:00,01/01/2030 00:00,WTD_4_1_1,WTD_4_1_1,Water table depth,m,height,,4,1,1,Campbell,CS-101,-10,10,100,era5,swvl1,swvl1,m,WTD,Water table depth,m,mean
UK-AMO,01/01/1995 00:00,01/01/2030 00:00,WTD_8_1_1,WTD_8_1_1,Water table depth,m,height,,8,1,1,Campbell,CS-101,-10,10,100,era5,swvl1,swvl1,m,WTD,Water table depth,m,mean
UK-AMO,01/01/1995 00:00,01/01/2030 00:00,WTD_9_1_1,WTD_9_1_1,Water table depth,m,height,,9,1,1,Campbell,CS-101,-10,10,100,era5,swvl1,swvl1,m,WTD,Water table depth,m,mean
UK-EBU,01/08/2023 13:00,01/01/2024 00:00,WTD_EB_5_1_1,WTD_EB_5_1_1,Water table depth,cm,height,,5,1,1,Campbell,CS-101,-10,10,100,era5,swvl1,swvl1,m,WTD,Water table depth,m,mean
