Conventions,G,BADC-CSV,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
title,G,"Annual half-hourly meteorology since 1995 at the Auchencorth Moss Atmospheric Observatory (AU), Near Edinburgh, UK",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
creator,G,Mhairi Coyle,Centre for Ecology and Hydrology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
observation_station,G,Auchencorth Moss,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
feature_type,G,Land surface meteorology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
location,G,Auchencorth Moss,"55°47’36” N, 3°14’41” W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
date_valid,G,01/07/2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
comments,G,"The Auchencorth Moss (AMo) field, South East Scotland (55°47’36” N, 3°14’41” W), is an ombrotrophic peatland with an extensive fetch at an elevation of 270 m, lying 18 km SSW of Edinburgh, and can be categorised as a transitional lowland raised bog. The site is grazed with < 1 sheep ha^-1.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
comments,G,http://www.auchencorth.ceh.ac.uk/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
long_name,1,Time Stamp,YYYY-MM-DD hh:[mm:ss],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
long_name,2,Temperature Upper Average,oC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
short_name,2,T_upper_Avg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
comments,2,Type-E thermocouple,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
long_name,3,Temperature Upper Average flag,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
short_name,3,Flag T_upper_Avg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
flag_values,3,0,1,2,3,4,5,10,12,13,15,16,105,106,107,108,109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
flag_meanings,3,OK = initial data flag for raw data that has had a simple range check,OK = final flag for original measurement that has be verified as okay,OR = data out of range,DL = data below detection limit,OD = data within range but does not follow usual pattern (no reason is not identifiable),"SZ = calibration, span or sero check","ND = no data, missing for unknown reason","ORD = no data, point deleted as out of range","DLD = no data, point deleted as below detection limit","SZ = no data, missing due to calibration, span or sero check","IF = no data, missing due to instrument fault, maintenance or site wide issue","DLI = interpolated, point deleted as below detection limit","ORI = interpolated, point deleted as out of range","IFI = interpolated, missing due to instrument fault or site wide issue","SZI = interpolated, missing due to calibration, span or sero check","NDI = interpolated, missing for unknown reason",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
long_name,4,Temperature lower average,oC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
short_name,4,T_lower_Avg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
comments,4,Type-E thermocouple,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
long_name,5,Temperature lower average flag,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
short_name,5,Flag T_lower_Avg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
flag_values,5,0,1,2,3,4,5,10,12,13,15,16,105,106,107,108,109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
