"TIMESTAMP","RECORD","LW_T_BODY_5_1_1","LW_T_BODY_IU_5_1_1","SW_IN_5_1_1","SW_IN_IU_5_1_1","LW_IN_5_1_1","LW_IN_IU_5_1_1","SW_OUT_5_1_1","SW_OUT_IU_5_1_1","LW_OUT_5_1_1","LW_OUT_IU_5_1_1","PPFD_IN_5_1_2","PPFD_IN_IU_5_1_2","PPFD_OUT_5_1_1","PPFD_OUT_IU_5_1_1","PPFD_DIF_4_1_1","PPFD_DIF_IU_4_1_1","PA_4_1_1","PA_IU_4_1_1"
"20250822000020",2688739,13.03,0,-8.57,-0.102,298.2,-0.994,-4.542,-0.048,357.1,-0.246,0,0,0,0,-3.649,-3.649,98.62195,2025.915
"20250822000040",2688740,13.03,0,-8.57,-0.102,298.5,-0.99,-4.669,-0.049,357.3,-0.244,0,0,0,0,-3.98,-3.98,98.61797,2025.749
"20250822000100",2688741,13.02,0,-8.57,-0.102,298.3,-0.991,-4.701,-0.05,357.5,-0.241,0,0,0,0,-5.639,-5.639,98.54253,2022.606
"20250822000120",2688742,13,0,-8.54,-0.102,298.1,-0.993,-4.765,-0.05,357.3,-0.242,0,0,0,0,-5.639,-5.639,98.5505,2022.937
"20250822000140",2688743,12.97,0,-8.6,-0.102,298,-0.993,-4.828,-0.051,357.2,-0.241,0,0,0,0,-5.97,-5.97,98.54652,2022.772
"20250822000200",2688744,12.97,0,-8.63,-0.103,298.1,-0.991,-4.796,-0.051,357,-0.243,0,0,0,0,-5.804,-5.804,98.54253,2022.606
"20250822000220",2688745,12.96,0,-8.63,-0.103,298.1,-0.991,-4.828,-0.051,357.2,-0.24,0,0,0,0,-5.97,-5.97,98.54647,2022.77
"20250822000240",2688746,12.95,0,-8.71,-0.104,298.1,-0.989,-4.765,-0.05,356.6,-0.246,0,0,0,0,-5.639,-5.639,98.5425,2022.604
"20250822000300",2688747,12.93,0,-8.66,-0.103,298.2,-0.987,-4.86,-0.051,357.4,-0.236,0,0,0,0,-5.97,-5.97,98.5425,2022.604
"20250822000320",2688748,12.92,0,-8.63,-0.103,298,-0.989,-4.828,-0.051,356.9,-0.241,0,0,0,0,-5.97,-5.97,98.5425,2022.604
"20250822000340",2688749,12.92,0,-8.57,-0.102,297.9,-0.99,-4.828,-0.051,357.2,-0.238,0,0,0,0,-5.805,-5.805,98.54647,2022.77
"20250822000400",2688750,12.91,0,-8.66,-0.103,298.3,-0.985,-4.828,-0.051,357.2,-0.238,0,0,0,0,-4.312,-4.312,98.62624,2026.093
"20250822000420",2688751,12.89,0,-8.63,-0.103,297.9,-0.988,-4.828,-0.051,357.5,-0.233,0,0,0,0,-4.312,-4.312,98.62225,2025.927
"20250822000440",2688752,12.87,0,-8.57,-0.102,298.2,-0.984,-4.923,-0.052,357.3,-0.234,0,0,0,0,-4.146,-4.146,98.62624,2026.093
"20250822000500",2688753,12.86,0,-8.52,-0.101,297.9,-0.986,-4.86,-0.051,357.5,-0.232,0,0,0,0,-4.146,-4.146,98.62624,2026.093
"20250822000520",2688754,12.86,0,-8.49,-0.101,297.8,-0.987,-4.828,-0.051,357.4,-0.233,0,0,0,0,-3.649,-3.649,98.61044,2025.435
"20250822000540",2688755,12.86,0,-8.57,-0.102,298.2,-0.982,-4.86,-0.051,357.4,-0.232,0,0,0,0,-4.644,-4.644,98.6184,2025.767
"20250822000600",2688756,12.84,0,-8.52,-0.101,298,-0.984,-4.86,-0.051,357.7,-0.228,0,0,0,0,-4.146,-4.146,98.61443,2025.601
"20250822000620",2688757,12.86,0,-8.54,-0.102,298.2,-0.983,-4.796,-0.051,357.5,-0.232,0,0,0,0,-3.98,-3.98,98.6184,2025.767
"20250822000640",2688758,12.83,0,-8.49,-0.101,298.1,-0.982,-4.765,-0.05,357.6,-0.229,0,0,0,0,-4.478,-4.478,98.62239,2025.933
"20250822000700",2688759,12.83,0,-8.4,-0.1,298.1,-0.982,-4.733,-0.05,357.7,-0.228,0,0,0,0,-4.312,-4.312,98.61831,2025.763
"20250822000720",2688760,12.83,0,-8.4,-0.1,298.3,-0.98,-4.733,-0.05,357.3,-0.232,0,0,0,0,-3.98,-3.98,98.61831,2025.763
"20250822000740",2688761,12.83,0,-8.35,-0.099,298.3,-0.98,-4.733,-0.05,357.5,-0.229,0,0,0,0,-4.146,-4.146,98.61831,2025.763
"20250822000800",2688762,12.83,0,-8.35,-0.099,298.2,-0.981,-4.733,-0.05,357,-0.235,0,0,0,0,-4.146,-4.146,98.61433,2025.597
"20250822000820",2688763,12.83,0,-8.46,-0.101,298.5,-0.978,-4.701,-0.05,356.8,-0.238,0,0,0,0,-3.98,-3.98,98.63435,2026.431
"20250822000840",2688764,12.82,0,-8.52,-0.101,298.5,-0.976,-4.669,-0.049,357.1,-0.234,0,0,0,0,-4.312,-4.312,98.61843,2025.768
"20250822000900",2688765,12.8,0,-8.52,-0.101,298.4,-0.976,-4.606,-0.048,356.6,-0.238,0,0,0,0,-4.312,-4.312,98.63435,2026.431
"20250822000920",2688766,12.8,0,-8.57,-0.102,298.6,-0.974,-4.606,-0.048,356.5,-0.239,0,0,0,0,-4.146,-4.146,98.61446,2025.602
"20250822000940",2688767,12.77,0,-8.57,-0.102,298.3,-0.976,-4.574,-0.048,356,-0.242,0,0,0,0,-4.312,-4.312,98.62241,2025.934
"20250822001000",2688768,12.77,0,-8.69,-0.103,298.7,-0.971,-4.574,-0.048,356.6,-0.236,0,0,0,0,-4.312,-4.312,98.6263,2026.095
"20250822001020",2688769,12.76,0,-8.6,-0.102,298.7,-0.97,-4.606,-0.048,356.4,-0.237,0,0,0,0,-3.98,-3.98,98.61436,2025.598
"20250822001040",2688770,12.74,0,-8.54,-0.102,298.5,-0.971,-4.606,-0.048,356.4,-0.237,0,0,0,0,-3.649,-3.649,98.61436,2025.598
"20250822001100",2688771,12.74,0,-8.49,-0.101,298.4,-0.973,-4.606,-0.048,356.4,-0.236,0,0,0,0,-4.146,-4.146,98.63425,2026.427
"20250822001120",2688772,12.74,0,-8.54,-0.102,298.4,-0.972,-4.542,-0.048,356.1,-0.24,0,0,0,0,-3.98,-3.98,98.62243,2025.935
"20250822001140",2688773,12.72,0,-8.6,-0.102,298.8,-0.966,-4.511,-0.047,355.7,-0.242,0,0,0,0,-4.146,-4.146,98.64233,2026.764
"20250822001200",2688774,12.72,0,-8.57,-0.102,299,-0.964,-4.542,-0.048,356.1,-0.238,0,0,0,0,-4.146,-4.146,98.62243,2025.935
"20250822001220",2688775,12.7,0,-8.52,-0.101,298.9,-0.964,-4.479,-0.047,356.8,-0.23,0,0,0,0,-4.146,-4.146,98.64233,2026.764
"20250822001240",2688776,12.69,0,-8.49,-0.101,298.6,-0.966,-4.479,-0.047,356.4,-0.234,0,0,0,0,-3.98,-3.98,98.62641,2026.1
"20250822001300",2688777,12.69,0,-8.52,-0.101,298.7,-0.966,-4.479,-0.047,356.3,-0.234,0,0,0,0,-4.146,-4.146,98.61835,2025.764
"20250822001320",2688778,12.66,0,-8.6,-0.102,298.5,-0.966,-4.479,-0.047,355.9,-0.237,0,0,0,0,-4.146,-4.146,98.63029,2026.262
"20250822001340",2688779,12.66,0,-8.8,-0.105,298.6,-0.965,-4.479,-0.047,355.6,-0.24,0,0,0,0,-4.312,-4.312,98.61835,2025.764
"20250822001400",2688780,12.63,0,-8.91,-0.106,298.6,-0.963,-4.415,-0.046,355.2,-0.242,0,0,0,0,-3.98,-3.98,98.61437,2025.599
"20250822001420",2688781,12.6,0,-9.02,-0.107,298.4,-0.964,-4.352,-0.046,354.8,-0.246,0,0,0,0,-3.814,-3.814,98.63061,2026.275
"20250822001440",2688782,12.57,0,-9.19,-0.109,297.8,-0.968,-4.32,-0.045,354.4,-0.248,0,0,0,0,-3.98,-3.98,98.62663,2026.109
"20250822001500",2688783,12.51,0,-9.53,-0.113,297.5,-0.969,-4.352,-0.046,353.6,-0.254,0,0,0,0,-3.98,-3.98,98.62264,2025.944
"20250822001520",2688784,12.44,0,-9.87,-0.117,297.8,-0.961,-4.479,-0.047,353,-0.255,0,0,0,0,-3.98,-3.98,98.61469,2025.612
"20250822001540",2688785,12.37,0,-10.15,-0.121,298,-0.954,-4.606,-0.048,352.9,-0.253,0,0,0,0,-3.98,-3.98,98.62663,2026.109
"20250822001600",2688786,12.31,0,-10.26,-0.122,298,-0.949,-4.701,-0.05,352.7,-0.251,0,0,0,0,-4.146,-4.146,98.62688,2026.12
"20250822001620",2688787,12.23,0,-10.32,-0.123,297.9,-0.946,-4.733,-0.05,352.6,-0.249,0,0,0,0,-4.146,-4.146,98.62688,2026.12
"20250822001640",2688788,12.16,0,-10.32,-0.123,298.1,-0.939,-4.669,-0.049,352.4,-0.247,0,0,0,0,-4.478,-4.478,98.61494,2025.623
"20250822001700",2688789,12.07,0,-10.26,-0.122,298,-0.935,-4.542,-0.048,351.9,-0.247,0,0,0,0,-4.312,-4.312,98.62688,2026.12
"20250822001720",2688790,12.01,0,-10.2,-0.121,297.9,-0.932,-4.415,-0.046,351.7,-0.246,0,0,0,0,-4.146,-4.146,98.6229,2025.954
"20250822001740",2688791,11.92,0,-10.12,-0.12,297.7,-0.929,-4.415,-0.046,351.5,-0.243,0,0,0,0,-3.98,-3.98,98.6229,2025.954
"20250822001800",2688792,11.85,0,-10.03,-0.119,297.9,-0.922,-4.352,-0.046,351.1,-0.243,0,0,0,0,-3.98,-3.98,98.65076,2027.115
"20250822001820",2688793,11.79,0,-9.95,-0.118,298,-0.917,-4.32,-0.045,351,-0.241,0,0,0,0,-3.814,-3.814,98.62688,2026.12
"20250822001840",2688794,11.72,0,-9.84,-0.117,298,-0.912,-4.256,-0.045,350.8,-0.239,0,0,0,0,-4.312,-4.312,98.63882,2026.618
"20250822001900",2688795,11.66,0,-9.7,-0.115,298.4,-0.904,-4.193,-0.044,350.5,-0.239,0,0,0,0,-4.312,-4.312,98.63107,2026.294
"20250822001920",2688796,11.6,0,-9.61,-0.114,298.7,-0.896,-4.098,-0.043,350.2,-0.239,0,0,0,0,-3.98,-3.98,98.62708,2026.128
"20250822001940",2688797,11.54,0,-9.47,-0.113,299,-0.888,-3.971,-0.042,350,-0.237,0,0,0,0,-4.312,-4.312,98.64301,2026.792
"20250822002000",2688798,11.46,0,-9.36,-0.111,299.5,-0.878,-3.971,-0.042,349.6,-0.237,0,0,0,0,-4.312,-4.312,98.63504,2026.46
"20250822002020",2688799,11.4,0,-9.19,-0.109,299.6,-0.873,-4.034,-0.042,349.5,-0.235,0,0,0,0,-4.146,-4.146,98.62306,2025.961
"20250822002040",2688800,11.34,0,-9.11,-0.108,300.1,-0.864,-4.002,-0.042,349.2,-0.235,0,0,0,0,-4.146,-4.146,98.6151,2025.629
"20250822002100",2688801,11.3,0,-8.97,-0.107,300.2,-0.859,-4.066,-0.043,349.3,-0.231,0,0,0,0,-3.98,-3.98,98.6151,2025.629
"20250822002120",2688802,11.27,0,-8.8,-0.105,300.3,-0.856,-4.098,-0.043,349.5,-0.228,0,0,0,0,-4.146,-4.146,98.62306,2025.961
"20250822002140",2688803,11.21,0,-8.69,-0.103,300.3,-0.852,-4.098,-0.043,349.3,-0.226,0,0,0,0,-3.814,-3.814,98.635,2026.458
"20250822002200",2688804,11.19,0,-8.46,-0.101,300.4,-0.85,-4.129,-0.043,349.3,-0.225,0,0,0,0,-4.312,-4.312,98.61906,2025.794
"20250822002220",2688805,11.18,0,-8.35,-0.099,300.7,-0.846,-4.098,-0.043,349.4,-0.223,0,0,0,0,-4.312,-4.312,98.63895,2026.623
"20250822002240",2688806,11.13,0,-8.15,-0.097,300.7,-0.843,-4.066,-0.043,349.4,-0.221,0,0,0,0,-4.146,-4.146,98.62701,2026.125
"20250822002300",2688807,11.13,0,-8.04,-0.096,301.2,-0.837,-4.034,-0.042,349.7,-0.218,0,0,0,0,-4.146,-4.146,98.61906,2025.794
"20250822002320",2688808,11.12,0,-7.898,-0.094,301.1,-0.836,-4.034,-0.042,349.6,-0.218,0,0,0,0,-4.146,-4.146,98.6228,2025.95
"20250822002340",2688809,11.12,0,-7.73,-0.092,301.2,-0.835,-4.034,-0.042,349.9,-0.215,0,0,0,0,-4.146,-4.146,98.62679,2026.116
"20250822002400",2688810,11.12,0,-7.449,-0.089,301.4,-0.833,-4.002,-0.042,350.1,-0.213,0,0,0,0,-4.312,-4.312,98.63474,2026.448
